EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 104894) of FRANCE, MARSEILLE OBS. PALAIS-LONCHAMP (STAID: 31)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
    31,104894,18820302,    0,    0
    31,104894,18820303,    0,    0
    31,104894,18820304,  106,    0
    31,104894,18820305,    4,    0
    31,104894,18820306,    0,    0
    31,104894,18820307,    0,    0
    31,104894,18820308,    0,    0
    31,104894,18820309,    0,    0
    31,104894,18820310,    0,    0
    31,104894,18820311,    0,    0
    31,104894,18820312,    0,    0
    31,104894,18820313,    0,    0
    31,104894,18820314,    0,    0
    31,104894,18820315,    0,    0
    31,104894,18820316,    0,    0
    31,104894,18820317,    0,    0
    31,104894,18820318,    0,    0
    31,104894,18820319,    0,    0
    31,104894,18820320,    0,    0
    31,104894,18820321,   54,    0
    31,104894,18820322,    0,    0
    31,104894,18820323,   10,    0
    31,104894,18820324,    0,    0
    31,104894,18820325,    0,    0
    31,104894,18820326,    0,    0
    31,104894,18820327,    0,    0
    31,104894,18820328,    0,    0
    31,104894,18820329,    0,    0
    31,104894,18820330,    0,    0
    31,104894,18820331,    0,    0
    31,104894,18820401,    3,    0
    31,104894,18820402,    0,    0
    31,104894,18820403,    0,    0
    31,104894,18820404,    0,    0
    31,104894,18820405,    0,    0
    31,104894,18820406,    0,    0
    31,104894,18820407,    0,    0
    31,104894,18820408,    0,    0
    31,104894,18820409,    0,    0
    31,104894,18820410,    0,    0
    31,104894,18820411,    0,    0
    31,104894,18820412,    0,    0
    31,104894,18820413,    0,    0
    31,104894,18820414,    0,    0
    31,104894,18820415,    0,    0
    31,104894,18820416,    0,    0
    31,104894,18820417,   24,    0
    31,104894,18820418,    0,    0
    31,104894,18820419,    0,    0
    31,104894,18820420,    0,    0
    31,104894,18820421,    0,    0
    31,104894,18820422,    0,    0
    31,104894,18820423,  142,    0
    31,104894,18820424,    0,    0
    31,104894,18820425,    0,    0
    31,104894,18820426,   69,    0
    31,104894,18820427,   24,    0
    31,104894,18820428,    0,    0
    31,104894,18820429,    0,    0
    31,104894,18820430,    0,    0
    31,104894,18820501,   28,    0
    31,104894,18820502,    0,    0
    31,104894,18820503,    0,    0
